Date,Value
31-Dec-16,"59,039.00"
31-Dec-15,"57,230.00"
31-Dec-14,"54,398.00"
31-Dec-13,"53,518.00"
31-Dec-12,"53,331.00"
31-Dec-11,"53,401.00"
31-Dec-10,"54,245.00"
31-Dec-09,"55,683.00"
31-Dec-08,"56,076.00"
31-Dec-07,"58,149.00"
31-Dec-06,"57,379.00"
31-Dec-05,"56,935.00"
31-Dec-04,"56,332.00"
31-Dec-03,"56,528.00"
31-Dec-02,"56,599.00"
31-Dec-01,"57,246.00"
31-Dec-00,"58,544.00"
31-Dec-99,"58,665.00"
31-Dec-98,"57,248.00"
31-Dec-97,"55,218.00"
31-Dec-96,"54,105.00"
31-Dec-95,"53,330.00"
31-Dec-94,"51,710.00"
31-Dec-93,"51,116.00"
31-Dec-92,"51,390.00"
31-Dec-91,"51,791.00"
31-Dec-90,"53,350.00"
31-Dec-89,"54,042.00"
31-Dec-88,"53,124.00"
31-Dec-87,"52,690.00"
31-Dec-86,"52,068.00"
31-Dec-85,"50,258.00"
31-Dec-84,"49,335.00"
31-Dec-83,"47,881.00"
31-Dec-82,"48,219.00"
31-Dec-81,"48,350.00"
31-Dec-80,"49,131.00"
31-Dec-79,"50,780.00"
31-Dec-78,"50,877.00"
31-Dec-77,"48,981.00"
31-Dec-76,"48,673.00"
31-Dec-75,"47,879.00"
31-Dec-74,"49,166.00"
31-Dec-73,"50,774.00"
31-Dec-72,"49,769.00"
31-Dec-71,"47,725.00"
31-Dec-70,"48,194.00"
31-Dec-69,"48,571.00"
31-Dec-68,"46,830.00"
31-Dec-67,"44,895.00"
