Date,Value
8-Jun-21,"4,229.00"
1-Jan-21,"3,873.11"
1-Jan-20,"3,393.63"
1-Jan-19,"2,766.31"
1-Jan-18,"3,005.75"
1-Jan-17,"2,501.99"
1-Jan-16,"2,162.66"
1-Jan-15,"2,317.58"
1-Jan-14,"2,080.53"
1-Jan-13,"1,716.81"
1-Jan-12,"1,532.33"
1-Jan-11,"1,555.37"
1-Jan-10,"1,384.75"
1-Jan-09,"1,094.79"
1-Jan-08,"1,744.38"
1-Jan-07,"1,878.94"
1-Jan-06,"1,722.09"
1-Jan-05,"1,654.43"
1-Jan-04,"1,633.07"
1-Jan-03,"1,316.66"
1-Jan-02,"1,719.35"
1-Jan-01,"2,037.04"
1-Jan-00,"2,255.39"
1-Jan-99,"2,029.76"
1-Jan-98,"1,592.01"
1-Jan-97,"1,286.12"
1-Jan-96,"1,062.72"
1-Jan-95,826.66
1-Jan-94,863.98
1-Jan-93,815.08
1-Jan-92,804.6
1-Jan-91,645.79
1-Jan-90,712.64
1-Jan-89,629.37
1-Jan-88,578.19
1-Jan-87,635.21
1-Jan-86,507.31
1-Jan-85,434.37
1-Jan-84,436.09
1-Jan-83,394.03
1-Jan-82,332.19
1-Jan-81,408.25
1-Jan-80,380.67
1-Jan-79,389.87
1-Jan-78,385.63
1-Jan-77,473.85
1-Jan-76,465.23
1-Jan-75,371.93
1-Jan-74,550.78
1-Jan-73,742.23
1-Jan-72,671.21
1-Jan-71,627.31
1-Jan-70,638.03
1-Jan-69,765.15
1-Jan-68,744.31
1-Jan-67,685.49
1-Jan-66,783.69
1-Jan-65,737.14
1-Jan-64,660.72
1-Jan-63,571.53
1-Jan-62,614.85
1-Jan-61,535.18
1-Jan-60,528.91
1-Jan-59,512.19
1-Jan-58,383.96
1-Jan-57,439.57
1-Jan-56,439.94
1-Jan-55,356.07
1-Jan-54,252.76
1-Jan-53,262.84
1-Jan-52,243.77
1-Jan-51,223
1-Jan-50,191.82
1-Jan-49,170.91
1-Jan-48,167.11
1-Jan-47,188.93
1-Jan-46,264.41
1-Jan-45,202.39
1-Jan-44,181.87
1-Jan-43,159.44
1-Jan-42,151.9
1-Jan-41,199.82
1-Jan-40,236.31
1-Jan-39,238.44
1-Jan-38,212.7
1-Jan-37,333.15
1-Jan-36,266.28
1-Jan-35,181.83
1-Jan-34,213.24
1-Jan-33,146.78
1-Jan-32,155
1-Jan-31,268.4
1-Jan-30,339.05
1-Jan-29,388.24
1-Jan-28,270.6
1-Jan-27,204.49
1-Jan-26,188.73
1-Jan-25,163.32
1-Jan-24,136.31
1-Jan-23,141.48
1-Jan-22,115.35
1-Jan-21,99.93
1-Jan-20,122.18
1-Jan-19,127.05
1-Jan-18,137.53
1-Jan-17,218.44
1-Jan-16,239.58
1-Jan-15,197.78
1-Jan-14,223.52
1-Jan-13,253.43
1-Jan-12,266.76
1-Jan-11,268.21
1-Jan-10,271.91
1-Jan-09,270.64
1-Jan-08,211.24
1-Jan-07,288.48
1-Jan-06,311.2
1-Jan-05,265.79
1-Jan-04,215.45
1-Jan-03,260.89
1-Jan-02,274.49
1-Jan-01,244.89
1-Jan-00,206.21
"Jan 1, 1899",240.19
"Jan 1, 1898",195.68
"Jan 1, 1897",174.18
"Jan 1, 1896",171.22
"Jan 1, 1895",172.75
"Jan 1, 1894",168.42
"Jan 1, 1893",189.64
"Jan 1, 1892",200.75
"Jan 1, 1891",165.71
"Jan 1, 1890",188.8
"Jan 1, 1889",175.14
"Jan 1, 1888",169.42
"Jan 1, 1887",186.5
"Jan 1, 1886",173.8
"Jan 1, 1885",136.75
"Jan 1, 1884",149.87
"Jan 1, 1883",155.31
"Jan 1, 1882",155.3
"Jan 1, 1881",175.48
"Jan 1, 1880",136.6
"Jan 1, 1879",115.47
"Jan 1, 1878",94.03
"Jan 1, 1877",86.66
"Jan 1, 1876",109.78
"Jan 1, 1875",105.34
"Jan 1, 1874",100.6
"Jan 1, 1873",105.46
"Jan 1, 1872",102.6
"Jan 1, 1871",95.16
